score,comment,timestamp
5,#【精品】野蘑菇牛肉炒米粉#强烈推荐这家店真不错！好吃好吃,2025/08/17 00:00:00
2,科技辣,2025/08/17 00:00:00
3,炒米粉还可以 好多那个红色辣的 配送还挺快的！#豪华炒米粉夜宵随心选套餐#,2025/08/16 00:00:00
5,味道不错，太好吃#鸡肉炒米粉+年糕+宽粉三拼#,2025/08/16 00:00:00
3,汤太多了,2025/08/16 00:00:00
5,吃了这么多家新疆炒米粉，每次都会把油搞在衣服上，从来没有哪家配过围裙，这家好贴心啊，必须五星好评,2025/08/16 00:00:00
5,#豪华炒米粉夜宵随心选套餐#很香不???????很好吃,2025/08/16 00:00:00
5,味道很不错，配送速度快，值得五分推荐,2025/08/16 00:00:00
5,#豪华炒米粉夜宵随心选套餐#可以，很好吃,2025/08/15 00:00:00
5,餐食分量很足，食材新鲜，味道也特别棒，每一口都能感受到满满的诚意。看得出商家在菜品的制作上很用心，无论是食材的搭配还是调料的使用，都恰到好处。以后点外卖就认准这家了，希望商家能一直保持这样的品质！,2025/08/15 00:00:00
5,?第二次点了，我一个不喜欢吃粉的人就觉得挺好吃的,2025/08/15 00:00:00
5,新疆米粉还是一如既往的好吃，爆辣巨爽,2025/08/15 00:00:00
5,#豪华炒米粉夜宵随心选套餐#中辣吃的很过瘾，鸡肉很嫩，粉也很多，吃到最后吃撑了还剩碗底,2025/08/15 00:00:00
5,#豪华炒米粉夜宵随心选套餐# #点亮↗?超值购 |嘎吱脆骨丸限1颗多点不送#好吃,2025/08/15 00:00:00
1,一打开盖就有个中药味，那个难吃哦，没吃过这么难吃的东西，跟shi一样,2025/08/15 00:00:00
5,"有一说一，真的好吃，yamy～店家要继续保持哦??
嘎嘎好吃啊家人们，香喷喷",2025/08/15 00:00:00
5,好吃 还是那个味道 点的外卖最多的就是他家了！,2025/08/15 00:00:00
5,#豪华炒米粉夜宵随心选套餐#,2025/08/14 00:00:00
5,一如既往的好吃。有点辣，配可乐绝了。,2025/08/14 00:00:00
4,点了微辣加辣 巨辣！！！！真的超级超级辣！！比卓记什么的辣太多了,2025/08/14 00:00:00
5,嘎嘎好吃，很香，量也大,2025/08/13 00:00:00
5,鸡肉炒馕太好吃啦，尤其是商家送的脆骨丸和牛肉丸，非常好吃，推荐买，都来尝尝,2025/08/13 00:00:00
5,#豪华炒米粉夜宵随心选套餐#又快乐了，真的很好吃，份量也足,2025/08/13 00:00:00
5, 超级香啊家人们，而且商家很贴心的给了围裙还有醋包，满满都是肉，真的很好吃！,2025/08/13 00:00:00
5,赶在离职前赶紧再吃吃吧,2025/08/13 00:00:00
5,第一次吃新疆炒米粉，味道还不错，份量也超多，满满一大碗，一个人吃不完,2025/08/13 00:00:00
5,味道很不错，挺好吃的，好评,2025/08/13 00:00:00
5,新疆炒米粉炒馕炒宽粉，非常好吃，实在是太好吃了，推荐品尝,2025/08/13 00:00:00
5,#豪华炒米粉夜宵随心选套餐#份量很足，包装很整洁，味道好吃，挺香的吃起来,2025/08/13 00:00:00
5,味道还可以，外卖送的也很快，主要是也好吃,2025/08/13 00:00:00
5,味道超级好，粉儿也挺不错，雪碧很好喝,2025/08/13 00:00:00
5,#鸡肉炒馕#超绝鸡肉炒馕，真的超级好吃，谁吃谁知道，推荐,2025/08/13 00:00:00
5,经常吃的一家，还是一如既往的好吃，份量也很足，包装的也非常不错，每跟粉上裹着汁，这种感觉太好了,2025/08/12 00:00:00
5,不错哦，同事常点，好吃也划算，辣度可以，推荐～,2025/08/12 00:00:00
1,好难吃，打开一股味道。。。吃了新疆炒米粉那么多家，这是最难吃的一家,2025/08/12 00:00:00
5,#豪华炒米粉夜宵随心选套餐#回深圳立刻来吃桃叶新疆炒米粉，亚米亚米??,2025/08/12 00:00:00
5,好吃，上头，包装的很好一点都不会撒,2025/08/11 00:00:00
5,味道很好，分量很足,2025/08/11 00:00:00
5,#豪华炒米粉夜宵随心选套餐#好吃 牛肉超级嫩 微辣广东人够了哈哈哈哈,2025/08/11 00:00:00
